Fecha,Ticker,Empresa,Score,RSI,Sentimiento,Señal,Momento
2025-12-29,AAPL,Apple Inc.,70,48.9,0.0,🟢 Comprar,Alta prioridad
2025-12-29,FER,Ferrovial SE,70,48.2,0.0,🟢 Comprar,Alta prioridad
2025-12-29,CSCO,"Cisco Systems, Inc.",70,53.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,CEG,Constellation Energy Corporatio,70,50.9,0.0,🟢 Comprar,Alta prioridad
2025-12-29,AVGO,Broadcom Inc.,70,45.2,0.0,🟢 Comprar,Alta prioridad
2025-12-29,ASML,ASML Holding N.V. - New York Re,70,50.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,AMZN,"Amazon.com, Inc.",70,54.4,0.0,🟢 Comprar,Alta prioridad
2025-12-29,APP,Applovin Corporation,70,53.4,0.0,🟢 Comprar,Alta prioridad
2025-12-29,APH,Amphenol Corporation,70,52.3,0.0,🟢 Comprar,Alta prioridad
2025-12-29,QCOM,QUALCOMM Incorporated,70,50.9,0.0,🟢 Comprar,Alta prioridad
2025-12-29,SBUX,Starbucks Corporation,70,52.9,0.0,🟢 Comprar,Alta prioridad
2025-12-29,PEP,"Pepsico, Inc.",70,44.5,0.0,🟢 Comprar,Alta prioridad
2025-12-29,TEL,TE Connectivity plc,70,49.8,0.0,🟢 Comprar,Alta prioridad
2025-12-29,TRMB,Trimble Inc.,70,47.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,TXN,Texas Instruments Incorporated,70,53.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,TSLA,"Tesla, Inc.",70,52.4,0.0,🟢 Comprar,Alta prioridad
2025-12-29,STX,Seagate Technology Holdings PLC,70,52.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,GLW,Corning Incorporated,70,54.6,0.0,🟢 Comprar,Alta prioridad
2025-12-29,IDXX,"IDEXX Laboratories, Inc.",70,43.2,0.0,🟢 Comprar,Alta prioridad
2025-12-29,IBM,International Business Machines,70,51.9,0.0,🟢 Comprar,Alta prioridad
